0.999693,5952
0.999945,1526
0.999946,1617
0.999944,1753
0.999941,1914
0.999937,2106
0.999933,2308
0.999928,2518
0.999924,2735
0.999919,2955
0.999915,3176
0.99991,3397
0.999906,3620
0.999901,3844
0.999897,4068
0.999893,4293
0.999889,4518
0.999885,4743
0.999881,4968
0.999878,5193
0.999878,5263
0.999878,5263
0.999878,5263
0.999878,5263
0.999878,5263
0.99988,5263
0.999882,5263
0.999885,5263
0.999889,5261
0.999892,5257
0.999896,5238
0.999899,5188
0.999903,5120
0.999907,4977
0.999912,4752
0.999917,4516
0.999921,4281
0.999926,4103
0.999931,3892
0.999937,3632
0.999943,3416
0.999949,3225
0.999955,3002
0.999961,2796
0.999966,2617
0.999972,2421
0.999978,2208
0.999983,1932
0.999987,1697
0.99999,1479
0.999993,1304
0.999994,1098
0.999995,876
0.999996,694
0.999996,518
0.999997,384
0.999997,242
0.999997,112
0.999997,45
0.999997,34
0.999997,26
0.999997,17
0.999997,9
0.999997,6
0.999997,6
0.999997,6
0.999997,6
0.999997,6
0.999997,5
0.999997,2
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,0
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,8
0.999997,11
0.999997,13
0.999997,22
0.999997,48
0.999996,124
0.999996,124
0.999996,124
0.999995,128
0.999995,128
0.999995,128
0.999995,135
0.999995,142
0.999995,142
0.999994,142
0.999994,146
0.999994,172
0.999994,173
0.999994,177
0.999993,198
0.999993,202
0.999993,211
0.999993,246
0.999992,273
0.999991,311
0.999991,344
0.99999,360
0.99999,366
0.99999,367
0.99999,372
0.99999,373
0.99999,374
0.99999,373
0.99999,367
0.999991,362
0.999991,358
0.999991,353
0.999992,348
0.999992,347
0.999992,353
0.999992,336
0.999992,315
0.999992,300
